maintopic,name,Speech Time (Hrs)
Question Period,Paul Calandra,11.866333333333333
Orders of the Day,Paul Calandra,7.484111111111111
Question Period,Sylvia Jones,6.849444444444445
Question Period,Stephen Lecce,4.600222222222222
Orders of the Day,Steve Clark,4.221888888888889
Orders of the Day,Todd J. McCarthy,4.158222222222222
Orders of the Day,Peter Bethlenfalvy,3.8609999999999998
Question Period,Doug Ford,2.957666666666667
Orders of the Day,Jill Dunlop,2.8961111111111113
Orders of the Day,Kinga Surma,2.8503333333333334
Question Period,Steve Clark,2.8297777777777777
Question Period,Todd Smith,2.809222222222222
Orders of the Day,Victor Fedeli,2.6317777777777778
Orders of the Day,Rob Flack,2.4594444444444443
Question Period,Caroline Mulroney,2.4516666666666667
Orders of the Day,Todd Smith,2.317888888888889
Orders of the Day,Stephen Lecce,2.1953333333333336
Orders of the Day,Doug Downey,2.1558888888888887
Orders of the Day,David Piccini,1.993111111111111
Question Period,Jill Dunlop,1.974
Question Period,Victor Fedeli,1.9666666666666666
Orders of the Day,Parm Gill,1.9421111111111111
Orders of the Day,Michael Parsa,1.9246666666666665
Question Period,Michael Parsa,1.9166666666666667
Question Period,Greg Rickford,1.8524444444444443
Question Period,Peter Bethlenfalvy,1.7741111111111112
Question Period,Kinga Surma,1.696888888888889
Orders of the Day,Nina Tangri,1.5933333333333333
Question Period,Monte McNaughton,1.5243333333333333
Question Period,Stan Cho,1.4945555555555556
Question Period,Graydon Smith,1.4607777777777777
Question Period,Michael A. Tibollo,1.4192222222222222
Orders of the Day,George Pirie,1.404111111111111
Question Period,David Piccini,1.399888888888889
Orders of the Day,Lisa M. Thompson,1.367
Orders of the Day,Greg Rickford,1.3132222222222223
Question Period,Prabmeet Singh Sarkaria,1.306
Question Period,Doug Downey,1.278888888888889
Question Period,Neil Lumsden,1.2681111111111112
Question Period,Lisa M. Thompson,1.2015555555555555
Question Period,Merrilee Fullerton,1.1932222222222222
Orders of the Day,Sylvia Jones,1.1644444444444444
Question Period,Nina Tangri,1.1288888888888888
Orders of the Day,Vijay Thanigasalam,1.053
